year,profit_per_gambler,visits_per_gambler,ruin_events_per_gambler,active_share_year_end
121,1195.8001,3.28121,0.010641,0.825989
122,1197.0311,3.27989,0.010593,0.825820
123,1193.8795,3.27732,0.010099,0.825635
124,1194.2124,3.27752,0.009930,0.825413
125,1195.5260,3.28045,0.009978,0.825232
126,1194.3111,3.27583,0.009698,0.825067
127,1193.8555,3.27558,0.009551,0.824940
128,1193.7177,3.27678,0.009521,0.824786
129,1193.2798,3.27472,0.009421,0.824559
130,1192.2039,3.27271,0.009339,0.824393
131,1191.4179,3.27167,0.008944,0.824250
132,1191.3099,3.27085,0.008906,0.824031
133,1190.4093,3.26980,0.008779,0.823847
134,1190.8036,3.26929,0.008527,0.823614
135,1189.6955,3.26913,0.008579,0.823445
136,1189.1065,3.26599,0.008323,0.823319
137,1188.9459,3.26511,0.008186,0.823156
138,1189.0013,3.26621,0.008044,0.822944
139,1188.1876,3.26549,0.007824,0.822864
140,1189.0441,3.26453,0.008085,0.822682
141,1187.9999,3.26431,0.007665,0.822444
142,1186.4809,3.26126,0.007478,0.822304
143,1185.8415,3.25953,0.007553,0.822106
144,1186.0369,3.25892,0.007367,0.821993
145,1185.6113,3.25916,0.007152,0.821851
146,1186.2005,3.25946,0.007168,0.821763
147,1185.3168,3.25818,0.007157,0.821653
148,1184.5102,3.25640,0.007328,0.821529
149,1183.4875,3.25555,0.006943,0.821336
150,1184.0945,3.25693,0.006776,0.821198
151,1182.7778,3.25351,0.006618,0.820993
152,1182.3783,3.25294,0.006581,0.820954
153,1182.9048,3.25410,0.006653,0.820745
154,1183.2796,3.25446,0.006371,0.820605
155,1181.3753,3.25237,0.006416,0.820493
156,1181.2958,3.24993,0.006245,0.820345
157,1182.3125,3.25235,0.006122,0.820245
158,1181.1554,3.25189,0.006199,0.820152
159,1180.4138,3.25045,0.006287,0.819958
160,1180.1110,3.24939,0.005694,0.819880
161,1179.4935,3.24684,0.005803,0.819686
162,1180.7399,3.25078,0.005856,0.819631
163,1179.9271,3.24744,0.005740,0.819495
164,1180.0591,3.24851,0.005771,0.819387
165,1179.8630,3.24822,0.005982,0.819200
166,1178.7074,3.24400,0.005504,0.819109
167,1178.9797,3.24499,0.005403,0.819023
168,1178.0723,3.24507,0.005326,0.818915
169,1177.4794,3.24422,0.005329,0.818841
170,1178.3214,3.24580,0.005318,0.818722
171,1176.3181,3.24255,0.005479,0.818564
172,1176.1464,3.24156,0.005260,0.818468
173,1177.2538,3.24223,0.005095,0.818305
174,1175.2723,3.23917,0.005269,0.818180
175,1176.4484,3.23996,0.005013,0.818105
176,1176.2283,3.23923,0.004930,0.817991
177,1174.0380,3.23742,0.004966,0.817861
178,1175.4497,3.23816,0.004826,0.817746
179,1174.7870,3.23706,0.004987,0.817611
180,1174.4552,3.23802,0.004945,0.817448
181,1173.8567,3.23687,0.004670,0.817403
182,1173.7026,3.23557,0.004577,0.817341
183,1173.9915,3.23837,0.004676,0.817219
184,1172.9088,3.23437,0.004795,0.817063
185,1173.1159,3.23411,0.004693,0.816983
186,1172.7719,3.23500,0.004506,0.816887
187,1173.4638,3.23463,0.004345,0.816715
188,1172.2559,3.23250,0.004375,0.816665
189,1172.1874,3.23402,0.004418,0.816535
