house_edge,comp_rate,decade,profit_per_gambler_year,active_share
0.1300,0.4286,9,262.669,0.69922
0.1300,0.4286,10,259.289,0.69275
0.1300,0.4286,11,259.443,0.68958
0.1300,0.4286,12,254.747,0.68433
0.1600,0.4286,1,440.856,0.80493
0.1600,0.4286,2,379.962,0.76904
0.1600,0.4286,3,359.964,0.75000
0.1600,0.4286,4,348.171,0.73523
0.1600,0.4286,5,354.365,0.72607
0.1600,0.4286,6,328.230,0.71863
0.1600,0.4286,7,329.606,0.70886
0.1600,0.4286,8,317.894,0.70093
0.1600,0.4286,9,313.544,0.69495
0.1600,0.4286,10,317.997,0.69043
0.1600,0.4286,11,306.188,0.68567
0.1600,0.4286,12,303.992,0.68201
0.1900,0.4286,1,487.900,0.79602
0.1900,0.4286,2,437.191,0.76855
0.1900,0.4286,3,418.580,0.74683
0.1900,0.4286,4,400.121,0.73230
0.1900,0.4286,5,393.169,0.72437
0.1900,0.4286,6,375.619,0.71362
0.1900,0.4286,7,375.894,0.70801
0.1900,0.4286,8,366.238,0.70276
0.1900,0.4286,9,357.078,0.69824
0.1900,0.4286,10,364.195,0.69238
0.1900,0.4286,11,360.255,0.68811
0.1900,0.4286,12,341.336,0.68506
0.2200,0.4286,1,550.249,0.78809
0.2200,0.4286,2,468.677,0.75610
0.2200,0.4286,3,450.655,0.73743
0.2200,0.4286,4,448.767,0.72705
0.2200,0.4286,5,436.317,0.71448
0.2200,0.4286,6,425.701,0.70544
0.2200,0.4286,7,404.160,0.69958
0.2200,0.4286,8,404.614,0.69336
0.2200,0.4286,9,403.405,0.68945
0.2200,0.4286,10,406.343,0.68372
0.2200,0.4286,11,392.186,0.68091
0.2200,0.4286,12,378.689,0.67688
0.2500,0.4286,1,609.085,0.77979
0.2500,0.4286,2,528.573,0.75171
0.2500,0.4286,3,507.593,0.73584
0.2500,0.4286,4,481.185,0.72144
0.2500,0.4286,5,477.826,0.71289
0.2500,0.4286,6,455.406,0.70520
0.2500,0.4286,7,452.502,0.69714
0.2500,0.4286,8,453.599,0.69189
0.2500,0.4286,9,448.678,0.68530
0.2500,0.4286,10,437.780,0.68079
0.2500,0.4286,11,434.955,0.67688
0.2500,0.4286,12,432.381,0.67407
0.2800,0.4286,1,661.124,0.78040
0.2800,0.4286,2,578.449,0.75195
0.2800,0.4286,3,556.939,0.73865
0.2800,0.4286,4,529.997,0.72266
0.2800,0.4286,5,510.949,0.71204
0.2800,0.4286,6,506.732,0.70459
0.2800,0.4286,7,490.317,0.69580
0.2800,0.4286,8,492.800,0.69141
0.2800,0.4286,9,485.454,0.68457
0.2800,0.4286,10,480.724,0.67859
0.2800,0.4286,11,480.184,0.67542
0.2800,0.4286,12,483.618,0.67310
0.0100,0.5143,1,19.027,0.86743
0.0100,0.5143,2,9.576,0.82129
0.0100,0.5143,3,17.440,0.79041
0.0100,0.5143,4,36.857,0.76514
0.0100,0.5143,5,21.972,0.75159
0.0100,0.5143,6,25.296,0.73254
0.0100,0.5143,7,25.145,0.72461
0.0100,0.5143,8,25.347,0.71729
0.0100,0.5143,9,16.255,0.71082
0.0100,0.5143,10,28.739,0.70496
0.0100,0.5143,11,11.153,0.69849
0.0100,0.5143,12,22.978,0.69458
0.0400,0.5143,1,99.472,0.84509
0.0400,0.5143,2,91.530,0.80347
0.0400,0.5143,3,85.662,0.77759
0.0400,0.5143,4,89.330,0.75879
0.0400,0.5143,5,83.068,0.74353
0.0400,0.5143,6,83.019,0.73218
0.0400,0.5143,7,73.561,0.72009
0.0400,0.5143,8,76.860,0.71375
0.0400,0.5143,9,84.101,0.70654
0.0400,0.5143,10,72.593,0.70203
0.0400,0.5143,11,79.799,0.69897
0.0400,0.5143,12,77.994,0.69385
0.0700,0.5143,1,174.345,0.82886
0.0700,0.5143,2,149.932,0.78857
0.0700,0.5143,3,144.173,0.76428
0.0700,0.5143,4,145.745,0.74902
0.0700,0.5143,5,142.062,0.73669
0.0700,0.5143,6,130.078,0.72241
0.0700,0.5143,7,130.895,0.71680
0.0700,0.5143,8,129.254,0.70837
0.0700,0.5143,9,119.785,0.70129
0.0700,0.5143,10,121.463,0.69531
0.0700,0.5143,11,113.531,0.69299
0.0700,0.5143,12,117.114,0.68750
0.1000,0.5143,1,247.394,0.82129
0.1000,0.5143,2,210.732,0.78247
0.1000,0.5143,3,221.348,0.75525
0.1000,0.5143,4,193.951,0.74438
0.1000,0.5143,5,183.874,0.73340
0.1000,0.5143,6,197.231,0.72510
0.1000,0.5143,7,179.973,0.71631
0.1000,0.5143,8,176.958,0.71033
0.1000,0.5143,9,179.776,0.70325
0.1000,0.5143,10,184.995,0.69836
0.1000,0.5143,11,175.143,0.69385
0.1000,0.5143,12,164.999,0.68726
0.1300,0.5143,1,305.400,0.81140
0.1300,0.5143,2,258.337,0.77393
0.1300,0.5143,3,265.593,0.74939
0.1300,0.5143,4,244.048,0.73914
0.1300,0.5143,5,239.345,0.72729
0.1300,0.5143,6,227.939,0.71753
0.1300,0.5143,7,237.351,0.70886
0.1300,0.5143,8,227.530,0.70410
0.1300,0.5143,9,232.866,0.69702
0.1300,0.5143,10,218.577,0.69177
0.1300,0.5143,11,220.999,0.68848
0.1300,0.5143,12,218.332,0.68384
0.1600,0.5143,1,366.742,0.80530
0.1600,0.5143,2,339.537,0.76941
0.1600,0.5143,3,317.053,0.75476
0.1600,0.5143,4,293.842,0.73584
0.1600,0.5143,5,288.564,0.72534
0.1600,0.5143,6,287.287,0.71375
0.1600,0.5143,7,271.396,0.70776
0.1600,0.5143,8,271.573,0.70410
0.1600,0.5143,9,260.512,0.69653
0.1600,0.5143,10,259.343,0.69299
0.1600,0.5143,11,266.131,0.68726
0.1600,0.5143,12,256.370,0.68372
0.1900,0.5143,1,420.424,0.79663
0.1900,0.5143,2,371.777,0.76575
0.1900,0.5143,3,354.484,0.74438
0.1900,0.5143,4,337.887,0.72876
0.1900,0.5143,5,309.285,0.71863
0.1900,0.5143,6,325.443,0.71057
0.1900,0.5143,7,320.155,0.70190
0.1900,0.5143,8,304.797,0.69495
0.1900,0.5143,9,311.585,0.69080
0.1900,0.5143,10,294.743,0.68652
0.1900,0.5143,11,296.008,0.68347
0.1900,0.5143,12,306.409,0.67993
0.2200,0.5143,1,471.415,0.79041
0.2200,0.5143,2,422.890,0.75464
0.2200,0.5143,3,402.563,0.73877
0.2200,0.5143,4,397.162,0.72229
0.2200,0.5143,5,356.174,0.71277
0.2200,0.5143,6,367.300,0.70215
0.2200,0.5143,7,353.173,0.69775
0.2200,0.5143,8,354.358,0.69153
0.2200,0.5143,9,335.377,0.68860
0.2200,0.5143,10,354.231,0.68359
0.2200,0.5143,11,335.535,0.67993
0.2200,0.5143,12,343.312,0.67712
0.2500,0.5143,1,518.580,0.78320
0.2500,0.5143,2,471.577,0.75476
0.2500,0.5143,3,438.196,0.73450
0.2500,0.5143,4,421.344,0.72156
0.2500,0.5143,5,401.741,0.71252
0.2500,0.5143,6,413.199,0.70508
0.2500,0.5143,7,390.142,0.69763
0.2500,0.5143,8,401.744,0.69214
0.2500,0.5143,9,378.724,0.68457
0.2500,0.5143,10,380.296,0.68103
0.2500,0.5143,11,378.421,0.67651
0.2500,0.5143,12,364.805,0.67200
0.2800,0.5143,1,562.088,0.78027
0.2800,0.5143,2,513.853,0.75098
0.2800,0.5143,3,476.306,0.73584
0.2800,0.5143,4,456.061,0.72327
0.2800,0.5143,5,450.423,0.71204
0.2800,0.5143,6,436.434,0.70447
0.2800,0.5143,7,426.517,0.69543
0.2800,0.5143,8,428.492,0.69055
0.2800,0.5143,9,425.873,0.68481
0.2800,0.5143,10,407.071,0.68103
0.2800,0.5143,11,419.206,0.67725
0.2800,0.5143,12,426.213,0.67188
0.0100,0.6000,1,21.376,0.86755
0.0100,0.6000,2,32.721,0.82178
0.0100,0.6000,3,18.414,0.79089
0.0100,0.6000,4,21.894,0.77454
0.0100,0.6000,5,24.907,0.75647
0.0100,0.6000,6,14.838,0.74133
0.0100,0.6000,7,6.460,0.72778
0.0100,0.6000,8,17.592,0.71814
0.0100,0.6000,9,19.124,0.70813
0.0100,0.6000,10,26.739,0.70276
0.0100,0.6000,11,9.896,0.69653
0.0100,0.6000,12,17.955,0.69434
0.0400,0.6000,1,87.489,0.84265
0.0400,0.6000,2,64.585,0.80701
0.0400,0.6000,3,69.275,0.77380
0.0400,0.6000,4,60.947,0.76001
0.0400,0.6000,5,72.425,0.74487
0.0400,0.6000,6,57.628,0.73242
0.0400,0.6000,7,58.417,0.72485
0.0400,0.6000,8,64.950,0.71594
0.0400,0.6000,9,64.113,0.70898
0.0400,0.6000,10,65.597,0.70374
0.0400,0.6000,11,62.030,0.70007
0.0400,0.6000,12,66.419,0.69556
0.0700,0.6000,1,154.297,0.82849
0.0700,0.6000,2,128.028,0.78674
0.0700,0.6000,3,116.968,0.76294
0.0700,0.6000,4,109.248,0.74841
0.0700,0.6000,5,124.081,0.73401
0.0700,0.6000,6,113.698,0.72461
0.0700,0.6000,7,116.041,0.71594
0.0700,0.6000,8,108.675,0.70996
0.0700,0.6000,9,107.450,0.70459
0.0700,0.6000,10,110.299,0.69836
0.0700,0.6000,11,94.783,0.69165
0.0700,0.6000,12,111.027,0.69067
0.1000,0.6000,1,196.427,0.81860
0.1000,0.6000,2,189.536,0.77734
0.1000,0.6000,3,166.165,0.75867
0.1000,0.6000,4,164.104,0.74744
0.1000,0.6000,5,151.926,0.73315
0.1000,0.6000,6,152.758,0.72351
0.1000,0.6000,7,156.268,0.71704
0.1000,0.6000,8,154.340,0.71106
0.1000,0.6000,9,155.534,0.70398
0.1000,0.6000,10,149.585,0.70044
0.1000,0.6000,11,140.148,0.69604
0.1000,0.6000,12,153.758,0.69250
0.1300,0.6000,1,251.461,0.81116
0.1300,0.6000,2,225.106,0.77332
0.1300,0.6000,3,210.036,0.75354
0.1300,0.6000,4,204.251,0.73950
0.1300,0.6000,5,193.400,0.72729
0.1300,0.6000,6,205.645,0.71667
0.1300,0.6000,7,196.538,0.70984
0.1300,0.6000,8,186.628,0.70288
0.1300,0.6000,9,190.377,0.69751
0.1300,0.6000,10,196.482,0.69531
0.1300,0.6000,11,178.937,0.69080
0.1300,0.6000,12,186.873,0.68738
0.1600,0.6000,1,301.503,0.79736
0.1600,0.6000,2,276.004,0.76709
0.1600,0.6000,3,263.313,0.74890
0.1600,0.6000,4,245.694,0.73364
0.1600,0.6000,5,241.799,0.72278
0.1600,0.6000,6,237.776,0.71277
0.1600,0.6000,7,240.654,0.70642
0.1600,0.6000,8,218.582,0.69678
0.1600,0.6000,9,225.294,0.69324
0.1600,0.6000,10,213.626,0.68872
0.1600,0.6000,11,215.825,0.68396
0.1600,0.6000,12,222.000,0.68091
0.1900,0.6000,1,353.064,0.79773
0.1900,0.6000,2,303.863,0.76624
0.1900,0.6000,3,296.132,0.74780
0.1900,0.6000,4,289.098,0.73450
0.1900,0.6000,5,272.112,0.72229
0.1900,0.6000,6,264.518,0.71582
0.1900,0.6000,7,269.688,0.70679
0.1900,0.6000,8,273.528,0.70154
0.1900,0.6000,9,259.990,0.69543
0.1900,0.6000,10,259.927,0.69055
0.1900,0.6000,11,261.022,0.68591
0.1900,0.6000,12,254.050,0.68237
0.2200,0.6000,1,395.135,0.78943
0.2200,0.6000,2,354.950,0.76160
0.2200,0.6000,3,330.011,0.73962
0.2200,0.6000,4,323.540,0.72400
0.2200,0.6000,5,314.497,0.71594
0.2200,0.6000,6,314.328,0.70740
0.2200,0.6000,7,294.737,0.70142
0.2200,0.6000,8,282.546,0.69556
0.2200,0.6000,9,271.103,0.68689
0.2200,0.6000,10,288.126,0.68323
0.2200,0.6000,11,288.542,0.67969
0.2200,0.6000,12,277.790,0.67700
0.2500,0.6000,1,453.900,0.79004
0.2500,0.6000,2,389.196,0.76074
0.2500,0.6000,3,373.078,0.73938
0.2500,0.6000,4,356.686,0.72729
0.2500,0.6000,5,343.271,0.71606
0.2500,0.6000,6,346.603,0.70752
0.2500,0.6000,7,331.461,0.69971
0.2500,0.6000,8,330.233,0.69458
0.2500,0.6000,9,337.760,0.68665
0.2500,0.6000,10,323.211,0.68262
0.2500,0.6000,11,316.726,0.68018
0.2500,0.6000,12,320.988,0.67712
0.2800,0.6000,1,479.204,0.77710
0.2800,0.6000,2,425.647,0.75293
0.2800,0.6000,3,406.626,0.73572
0.2800,0.6000,4,390.053,0.72229
0.2800,0.6000,5,367.088,0.71265
0.2800,0.6000,6,358.796,0.70081
0.2800,0.6000,7,350.826,0.69360
0.2800,0.6000,8,353.817,0.68896
0.2800,0.6000,9,360.177,0.68481
0.2800,0.6000,10,352.579,0.68140
0.2800,0.6000,11,341.797,0.67664
0.2800,0.6000,12,352.207,0.67334
